Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1892,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,0.4,-12.3,999.9,999.9
1893,999.9,999.9,-4.5,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1894,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-18.8,999.9
1895,-23.2,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1896,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1897,-21.6,-18.7,-11.3,-2.4,9.7,16.1,17,13.9,10.4,-2.3,-11.6,-19.3,-1.7
1898,-15.2,-23.3,-18.8,-3.2,3.6,13.9,19.6,15.3,11,-4.6,-12.6,-14.3,-2.4
1899,-18.1,-16.7,-13,-0.4,5,13.9,14.2,15.8,9.4,4.3,-3.1,-18.9,-0.6
1900,-24.1,-17.2,-7.8,-3.6,8.9,14.7,18.4,15.5,6.8,2,-10.1,-16.8,-1.1
1901,-24,-12,-7.7,-0.3,7.1,13,17.5,12.2,5.4,-1.9,-11.3,-22.2,-2
1902,-21.6,-16,-16,-4.5,4.1,12.9,21.6,15.3,8.3,-7,-21.3,-25.2,-4.1
1903,-21.8,-12,-10.3,-0.7,4,11.4,17.2,15,8.4,-3.2,-10.4,-16.6,-1.6
1904,-16.1,-21.2,-8.1,-0.5,9.1,14.6,17,15.8,8,2,-8.4,-20.1,-0.7
1905,-20.7,-14.3,-11.4,-2.9,6.6,11.6,17.3,15.1,10.6,1.1,-8.9,-13.6,-0.8
1906,-24.2,-18.5,-6.2,0.7,7.1,14,16.6,16.8,7.9,0.2,-11.6,-14.1,-0.9
1907,-25.9,-15.5,-6.1,3.2,3.4,11.4,18.2,17.7,10.9,-3,-15.9,-25.2,-2.2
1908,-24.6,-14.7,-15.3,0.5,7.7,11.7,15.5,16,9.2,-2.6,-12.4,-23,-2.7
1909,-22.6,-14.2,-11.6,-1.1,4.8,15.5,19.7,13.6,9.3,0.3,-5.4,-16.1,-0.7
1910,-19.2,-13.8,-15.4,-3.1,6.7,12.1,17.7,14.7,8.8,-3,-14.6,-18.4,-2.3
1911,-19.6,-19.5,-16.3,0.1,4.8,15.6,21.4,12.6,7.8,-1.1,-10.7,-16,-1.7
1912,-18.4,-23.4,-14.4,-1.6,7.7,13.7,16.4,11.9,8.4,-5.8,-12.5,-20.5,-3.2
1913,-22.8,-20.4,-8.1,-2.5,6,15,17.4,15.1,7,-2.4,-9,-8.3,-1.1
1914,-20,-17.2,-13,-5.6,6.8,11.5,12.8,17.5,8.3,-2.1,-11.7,-13.6,-2.2
1915,-22.2,-12.2,-11.9,0.8,11.3,19.2,20.4,15.6,8.8,-3.4,-9.9,-22.3,-0.5
1916,-17.2,-14.9,-12.2,-4.3,4,15.8,15.8,12,9.3,-0.2,-9.9,-18.6,-1.7
1917,-18.6,-20.6,-13.1,-0.1,7.4,10.9,18.6,10.6,11.2,2,-8.1,-16.2,-1.3
1918,-15.4,-17,-13.7,-0.7,1.5,15,20.2,999.9,999.9,-0.6,-10.6,-19.1,999.9
1919,-24.5,-21.1,-12.6,0.4,5.2,999.9,17,16.4,8.5,0.7,999.9,999.9,999.9
1920,999.9,-21.1,-5.4,2,10.6,18.3,16.4,14.9,8.6,999.9,999.9,999.9,999.9
1921,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1922,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1923,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1924,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1925,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,1.1,-8.9,-16.5,999.9
